SNo,SPP,Block,ICR,Inv,SMB,Tags,FieldSCBName
145,Phelan,PH,ICR03,INV02,SCB12,ITC3_INV2_CT12_A,ICR03_INV02_SCB10
146,Phelan,PH,ICR03,INV02,SCB15,ITC3_INV2_CT15_A,ICR03_INV02_SCB11
147,Phelan,PH,ICR03,INV02,SCB16,ITC3_INV2_CT16_A,ICR03_INV02_SCB12
148,Phelan,PH,ICR03,INV02,SCB17,ITC3_INV2_CT17_A,ICR03_INV02_SCB13
149,Phelan,PH,ICR03,INV02,SCB18,ITC3_INV2_CT18_A,ICR03_INV02_SCB14
150,Phelan,PH,ICR03,INV02,SCB19,ITC3_INV2_CT19_A,ICR03_INV02_SCB15
151,Phelan,PH,ICR03,INV03,SCB01,ITC3_INV3_CT1_A,ICR03_INV03_SCB01
152,Phelan,PH,ICR03,INV03,SCB02,ITC3_INV3_CT2_A,ICR03_INV03_SCB02
153,Phelan,PH,ICR03,INV03,SCB03,ITC3_INV3_CT3_A,ICR03_INV03_SCB03
154,Phelan,PH,ICR03,INV03,SCB04,ITC3_INV3_CT4_A,ICR03_INV03_SCB04
155,Phelan,PH,ICR03,INV03,SCB05,ITC3_INV3_CT5_A,ICR03_INV03_SCB05
156,Phelan,PH,ICR03,INV03,SCB08,ITC3_INV3_CT8_A,ICR03_INV03_SCB06
157,Phelan,PH,ICR03,INV03,SCB09,ITC3_INV3_CT9_A,ICR03_INV03_SCB07
158,Phelan,PH,ICR03,INV03,SCB10,ITC3_INV3_CT10_A,ICR03_INV03_SCB08
159,Phelan,PH,ICR03,INV03,SCB11,ITC3_INV3_CT11_A,ICR03_INV03_SCB09
160,Phelan,PH,ICR03,INV03,SCB12,ITC3_INV3_CT12_A,ICR03_INV03_SCB10
161,Phelan,PH,ICR03,INV03,SCB15,ITC3_INV3_CT15_A,ICR03_INV03_SCB11
162,Phelan,PH,ICR03,INV03,SCB16,ITC3_INV3_CT16_A,ICR03_INV03_SCB12
163,Phelan,PH,ICR03,INV03,SCB17,ITC3_INV3_CT17_A,ICR03_INV03_SCB13
164,Phelan,PH,ICR03,INV03,SCB18,ITC3_INV3_CT18_A,ICR03_INV03_SCB14
165,Phelan,PH,ICR03,INV03,SCB19,ITC3_INV3_CT19_A,ICR03_INV03_SCB15
166,Phelan,PH,ICR03,INV04,SCB01,ITC3_INV4_CT1_A,ICR03_INV04_SCB01
167,Phelan,PH,ICR03,INV04,SCB02,ITC3_INV4_CT2_A,ICR03_INV04_SCB02
168,Phelan,PH,ICR03,INV04,SCB03,ITC3_INV4_CT3_A,ICR03_INV04_SCB03
169,Phelan,PH,ICR03,INV04,SCB04,ITC3_INV4_CT4_A,ICR03_INV04_SCB04
170,Phelan,PH,ICR03,INV04,SCB05,ITC3_INV4_CT5_A,ICR03_INV04_SCB05
171,Phelan,PH,ICR03,INV04,SCB08,ITC3_INV4_CT8_A,ICR03_INV04_SCB06
172,Phelan,PH,ICR03,INV04,SCB09,ITC3_INV4_CT9_A,ICR03_INV04_SCB07
173,Phelan,PH,ICR03,INV04,SCB10,ITC3_INV4_CT10_A,ICR03_INV04_SCB08
174,Phelan,PH,ICR03,INV04,SCB11,ITC3_INV4_CT11_A,ICR03_INV04_SCB09
175,Phelan,PH,ICR03,INV04,SCB12,ITC3_INV4_CT12_A,ICR03_INV04_SCB10
176,Phelan,PH,ICR03,INV04,SCB15,ITC3_INV4_CT15_A,ICR03_INV04_SCB11
177,Phelan,PH,ICR03,INV04,SCB16,ITC3_INV4_CT16_A,ICR03_INV04_SCB12
178,Phelan,PH,ICR03,INV04,SCB17,ITC3_INV4_CT17_A,ICR03_INV04_SCB13
179,Phelan,PH,ICR03,INV04,SCB18,ITC3_INV4_CT18_A,ICR03_INV04_SCB14
180,Phelan,PH,ICR03,INV04,SCB19,ITC3_INV4_CT19_A,ICR03_INV04_SCB15
181,Phelan,PH,ICR04,INV01,SCB01,ITC4_INV1_CT1_A,ICR04_INV01_SCB01
182,Phelan,PH,ICR04,INV01,SCB02,ITC4_INV1_CT2_A,ICR04_INV01_SCB02
183,Phelan,PH,ICR04,INV01,SCB03,ITC4_INV1_CT3_A,ICR04_INV01_SCB03
184,Phelan,PH,ICR04,INV01,SCB04,ITC4_INV1_CT4_A,ICR04_INV01_SCB04
185,Phelan,PH,ICR04,INV01,SCB05,ITC4_INV1_CT5_A,ICR04_INV01_SCB05
186,Phelan,PH,ICR04,INV01,SCB08,ITC4_INV1_CT8_A,ICR04_INV01_SCB06
187,Phelan,PH,ICR04,INV01,SCB09,ITC4_INV1_CT9_A,ICR04_INV01_SCB07
188,Phelan,PH,ICR04,INV01,SCB10,ITC4_INV1_CT10_A,ICR04_INV01_SCB08
189,Phelan,PH,ICR04,INV01,SCB11,ITC4_INV1_CT11_A,ICR04_INV01_SCB09
190,Phelan,PH,ICR04,INV01,SCB12,ITC4_INV1_CT12_A,ICR04_INV01_SCB10
191,Phelan,PH,ICR04,INV01,SCB15,ITC4_INV1_CT15_A,ICR04_INV01_SCB11
192,Phelan,PH,ICR04,INV01,SCB16,ITC4_INV1_CT16_A,ICR04_INV01_SCB12
193,Phelan,PH,ICR04,INV01,SCB17,ITC4_INV1_CT17_A,ICR04_INV01_SCB13
194,Phelan,PH,ICR04,INV01,SCB18,ITC4_INV1_CT18_A,ICR04_INV01_SCB14
195,Phelan,PH,ICR04,INV01,SCB19,ITC4_INV1_CT19_A,ICR04_INV01_SCB15
196,Phelan,PH,ICR04,INV02,SCB01,ITC4_INV2_CT1_A,ICR04_INV02_SCB01
197,Phelan,PH,ICR04,INV02,SCB02,ITC4_INV2_CT2_A,ICR04_INV02_SCB02
198,Phelan,PH,ICR04,INV02,SCB03,ITC4_INV2_CT3_A,ICR04_INV02_SCB03
199,Phelan,PH,ICR04,INV02,SCB04,ITC4_INV2_CT4_A,ICR04_INV02_SCB04
200,Phelan,PH,ICR04,INV02,SCB05,ITC4_INV2_CT5_A,ICR04_INV02_SCB05
201,Phelan,PH,ICR04,INV02,SCB08,ITC4_INV2_CT8_A,ICR04_INV02_SCB06
202,Phelan,PH,ICR04,INV02,SCB09,ITC4_INV2_CT9_A,ICR04_INV02_SCB07
203,Phelan,PH,ICR04,INV02,SCB10,ITC4_INV2_CT10_A,ICR04_INV02_SCB08
204,Phelan,PH,ICR04,INV02,SCB11,ITC4_INV2_CT11_A,ICR04_INV02_SCB09
205,Phelan,PH,ICR04,INV02,SCB12,ITC4_INV2_CT12_A,ICR04_INV02_SCB10
